Date;Open*;High;Low;Close**;Volume;Market Cap
14/02/2015;0,255242;0,28216;0,252122;0,280322;19546;1591440
15/02/2015;0,279862;0,28085;0,242444;0,25138;13141;1749650
16/02/2015;0,252583;0,256815;0,241612;0,251039;8801;1583380
17/02/2015;0,251008;0,259335;0,245205;0,253231;16775;1577450
18/02/2015;0,253632;0,25574;0,232431;0,248507;33558;1598190
19/02/2015;0,249056;0,302804;0,245411;0,282791;35329;1573510
20/02/2015;0,284644;0,30734;0,276358;0,305673;23536;1803180
21/02/2015;0,305391;0,317549;0,294589;0,302557;14275;1939520
22/02/2015;0,30275;0,313139;0,262125;0,313139;28371;1927720
23/02/2015;0,314207;0,355874;0,301992;0,337887;82507;2005950
24/02/2015;0,384864;0,394168;0,33761;0,340267;77991;2463620
25/02/2015;0,335048;0,371745;0,321195;0,365243;33340;2150140
26/02/2015;0,365299;0,371073;0,340683;0,357721;31163;2350210
27/02/2015;0,357521;0,398922;0,354788;0,381008;36994;2305920
28/02/2015;0,385549;0,437406;0,379742;0,427227;68062;2492860
01/03/2015;0,427313;0,428362;0,397172;0,426028;23255;2769930
02/03/2015;0,425727;0,431746;0,384157;0,428434;67915;2766530
03/03/2015;0,428695;0,428695;0,389474;0,415078;23029;2792970
04/03/2015;0,415367;0,423196;0,390815;0,413151;21345;2713080
05/03/2015;0,413275;0,479477;0,408101;0,469626;45238;2705880
06/03/2015;0,472445;0,519687;0,452861;0,486039;77668;3100550
07/03/2015;0,486154;0,498645;0,454861;0,457321;25259;3198930
08/03/2015;0,46557;0,503778;0,452096;0,484062;39107;3071180
09/03/2015;0,489531;0,677262;0,464207;0,63489;110877;3236970
10/03/2015;0,648228;0,829071;0,583301;0,791843;182299;4296870
11/03/2015;0,792159;0,804778;0,65661;0,715782;95830;5263560
12/03/2015;0,71549;0,71549;0,649881;0,684608;62621;4766020
13/03/2015;0,678898;0,687685;0,632975;0,644822;56953;4533130
14/03/2015;0,633491;0,724987;0,588473;0,676167;83441;4240350
15/03/2015;0,674561;0,792409;0,668614;0,69425;70322;4525900
16/03/2015;0,695199;0,850915;0,687812;0,805943;110309;4675430
17/03/2015;0,806746;0,82073;0,740693;0,752221;61111;5438720
18/03/2015;0,752673;0,752673;0,61634;0,638029;51858;5086120
19/03/2015;0,646906;0,686367;0,613131;0,677382;52047;4381670
20/03/2015;0,667179;0,681503;0,615417;0,633158;28023;4529630
21/03/2015;0,642876;0,746377;0,628618;0,743222;61605;4374530
22/03/2015;0,743241;0,806098;0,730675;0,777347;108985;5069650
23/03/2015;0,775314;0,785542;0,739098;0,766353;45634;5300020
24/03/2015;0,766937;0,777265;0,677083;0,711852;52144;5255200
25/03/2015;0,706427;0,777912;0,665812;0,767497;98536;4851810
26/03/2015;0,767811;0,778786;0,737119;0,746328;44427;5285540
27/03/2015;0,744401;0,7991;0,733024;0,777714;42036;5136280
28/03/2015;0,779336;0,852626;0,765332;0,795417;74210;5389510
29/03/2015;0,806605;0,817701;0,701294;0,712153;58609;5590830
30/03/2015;0,718821;0,890235;0,71482;0,853188;108069;4993790
31/03/2015;0,870559;1,02;0,848876;0,907059;216122;6061480
01/04/2015;0,907474;1,05;0,907474;1,01;119203;6333310
02/04/2015;1,01;1,03;0,918268;0,96926;88831;7040630
03/04/2015;0,977708;1,02;0,878714;0,952245;139293;6853850
04/04/2015;0,940243;0,991304;0,714985;0,85929;128977;6606150
05/04/2015;0,857369;0,919018;0,72706;0,883731;143439;6037240
06/04/2015;0,877685;0,914227;0,762972;0,789463;38051;6193760
07/04/2015;0,788578;0,833302;0,715785;0,833302;95347;5576860
08/04/2015;0,818747;0,843535;0,724638;0,755192;33421;5803160
09/04/2015;0,755325;0,762909;0,699283;0,758207;24374;5365370
10/04/2015;0,759481;0,86414;0,724072;0,800381;67091;5406330
11/04/2015;0,804529;0,855407;0,785581;0,827207;45289;5739570
12/04/2015;0,826843;0,831293;0,795958;0,800135;22665;5911570
13/04/2015;0,800405;0,801073;0,675923;0,691741;66159;5735080
14/04/2015;0,697815;0,700495;0,643041;0,656934;37452;5010540
